datetime,open,high,low,close,vol,volCcy,volCcyQuote,confirm
2023-05-08 16:00:00,0.2721,0.27224,0.24452,0.25687,62076945.180193,15760739.89448505331,15760739.89448505331,0
2023-05-07 16:00:00,0.29001,0.29588,0.26506,0.2721,67028830.760404,18640578.84541788345,18640578.84541788345,1
2023-05-06 16:00:00,0.29365,0.29952,0.28835,0.29,43885037.959535,12856339.42458884623,12856339.42458884623,1
2023-05-05 16:00:00,0.32474,0.32959,0.29026,0.29372,49778532.72822,15390075.58997049574,15390075.58997049574,1
2023-05-04 16:00:00,0.3287,0.3328,0.308,0.32474,43348749.603177,14011037.87488179879,14011037.87488179879,1
2023-05-03 16:00:00,0.30608,0.33705,0.3047,0.32878,95165355.190231,30722336.9014227099,30722336.9014227099,1
2023-05-02 16:00:00,0.31215,0.31442,0.29927,0.30608,31731930.548908,9720663.66567290638,9720663.66567290638,1
2023-05-01 16:00:00,0.30305,0.31465,0.29719,0.31225,75929485.747496,23166378.55780960187,23166378.55780960187,1
2023-04-30 16:00:00,0.32579,0.33442,0.301,0.30302,48451501.373688,15203987.17398273615,15203987.17398273615,1
2023-04-29 16:00:00,0.3287,0.32999,0.3165,0.32589,37015337.185564,11992409.52076639145,11992409.52076639145,1
2023-04-28 16:00:00,0.3372,0.34795,0.32814,0.32871,49571814.789109,16662456.18538446605,16662456.18538446605,1
2023-04-27 16:00:00,0.32337,0.34366,0.32115,0.33722,66020136.235337,21886315.64052141143,21886315.64052141143,1
2023-04-26 16:00:00,0.34162,0.34594,0.29342,0.32337,140577086.484841,44996589.3026587542,44996589.3026587542,1
2023-04-25 16:00:00,0.28101,0.3483,0.2792,0.34163,142605248.193935,45120590.51129009094,45120590.51129009094,1
2023-04-24 16:00:00,0.28927,0.30228,0.27627,0.28134,53281381.186139,15480969.41220476691,15480969.41220476691,1
2023-04-23 16:00:00,0.29057,0.30003,0.27273,0.28926,74158126.959558,21388043.84196018328,21388043.84196018328,1
2023-04-22 16:00:00,0.29216,0.30513,0.28376,0.29058,36119050.576725,10584243.79656574376,10584243.79656574376,1
2023-04-21 16:00:00,0.31436,0.31664,0.28177,0.29196,74447321.333169,21890401.08404079054,21890401.08404079054,1
2023-04-20 16:00:00,0.32282,0.33461,0.31171,0.31441,69630264.916063,22525508.76059361472,22525508.76059361472,1
2023-04-19 16:00:00,0.32652,0.3423,0.31042,0.3228,114309217.345186,37304971.06809128177,37304971.06809128177,1
2023-04-18 16:00:00,0.36545,0.36863,0.31631,0.3264,126751300.189345,43058110.79048525758,43058110.79048525758,1
2023-04-17 16:00:00,0.35684,0.3756,0.35106,0.36525,56876511.663242,20746087.94329404084,20746087.94329404084,1
2023-04-16 16:00:00,0.37804,0.384,0.3546,0.35684,68911954.126038,25433105.0024354951,25433105.0024354951,1
2023-04-15 16:00:00,0.37439,0.385,0.3702,0.37807,62053512.748562,23428430.09390698407,23428430.09390698407,1
2023-04-14 16:00:00,0.368,0.38447,0.36437,0.37441,70594248.274622,26510426.00006418057,26510426.00006418057,1
2023-04-13 16:00:00,0.39144,0.41296,0.36588,0.36814,106475188.90237,41422397.60977907276,41422397.60977907276,1
2023-04-12 16:00:00,0.38433,0.40088,0.37333,0.39144,69413130.862795,26795385.95186920744,26795385.95186920744,1
2023-04-11 16:00:00,0.41789,0.41816,0.37697,0.38432,122155146.748103,48240267.43082026105,48240267.43082026105,1
2023-04-10 16:00:00,0.387,0.44749,0.38452,0.41786,268539419.959512,113653709.11802540325,113653709.11802540325,1
2023-04-09 16:00:00,0.36872,0.39034,0.36419,0.387,64061644.310058,23993718.14191242203,23993718.14191242203,1
2023-04-08 16:00:00,0.37636,0.3804,0.361,0.36866,61544697.805717,22789928.70753329359,22789928.70753329359,1
2023-04-07 16:00:00,0.3698,0.38388,0.36748,0.37633,58858433.455732,22163284.16166636567,22163284.16166636567,1
2023-04-06 16:00:00,0.37562,0.38118,0.36012,0.3698,67218850.05059,24869710.50696239314,24869710.50696239314,1
2023-04-05 16:00:00,0.38427,0.39599,0.36592,0.37559,103131498.804461,39317274.50765279391,39317274.50765279391,1
2023-04-04 16:00:00,0.36417,0.406,0.36277,0.38401,156410242.490117,60174040.97216428051,60174040.97216428051,1
2023-04-03 16:00:00,0.37944,0.38489,0.34723,0.36413,151836166.346685,55842176.30357229651,55842176.30357229651,1
2023-04-02 16:00:00,0.36698,0.39804,0.34672,0.37925,142953396.527425,53484351.23956554507,53484351.23956554507,1
2023-04-01 16:00:00,0.40523,0.40984,0.36356,0.36704,85760580.837735,33201094.10561865456,33201094.10561865456,1
2023-03-31 16:00:00,0.41173,0.4277,0.39893,0.40522,101898728.237611,42021637.96701731778,42021637.96701731778,1
2023-03-30 16:00:00,0.41623,0.4285,0.38997,0.41178,191664488.830587,78343345.96603989203,78343345.96603989203,1
2023-03-29 16:00:00,0.38466,0.44341,0.37955,0.41627,257088931.547024,108017911.00032560517,108017911.00032560517,1
2023-03-28 16:00:00,0.32902,0.3948,0.32538,0.38488,186735358.441047,68880786.49568809084,68880786.49568809084,1
2023-03-27 16:00:00,0.31614,0.33606,0.30832,0.32912,110780988.898973,35404093.12980456721,35404093.12980456721,1
2023-03-26 16:00:00,0.33467,0.3585,0.30538,0.31608,157807060.512929,52970767.52665102243,52970767.52665102243,1
2023-03-25 16:00:00,0.32751,0.3461,0.307,0.33465,168099213.402824,55216045.07730222357,55216045.07730222357,1
2023-03-24 16:00:00,0.33955,0.346,0.31588,0.32752,149258050.161976,49360005.54722844533,49360005.54722844533,1
2023-03-23 16:00:00,0.38317,0.38584,0.3222,0.33936,170378643.4281,60589475.4035102654,60589475.4035102654,1
2023-03-22 16:00:00,0.41182,0.4207,0.35703,0.38334,266713825.250822,102291962.37713171102,102291962.37713171102,1
2023-03-21 16:00:00,0.42299,0.43681,0.39064,0.41167,173287300.935192,70859231.31486025299,70859231.31486025299,1
2023-03-20 16:00:00,0.43309,0.44859,0.3818,0.42295,231945523.119593,95376438.35287498624,95376438.35287498624,1
2023-03-19 16:00:00,0.40053,0.48848,0.39394,0.43302,427765067.771846,189886206.14129365918,189886206.14129365918,1
2023-03-18 16:00:00,0.38717,0.42,0.36055,0.40093,360046410.841058,141166659.70226009861,141166659.70226009861,1
2023-03-17 16:00:00,0.32743,0.4348,0.32244,0.38753,446068527.08625,174705965.94958539673,174705965.94958539673,1
2023-03-16 16:00:00,0.29155,0.37,0.27546,0.32708,359498053.583505,114644404.99841933513,114644404.99841933513,1
2023-03-15 16:00:00,0.29374,0.309,0.24712,0.29143,418718411.478388,117378146.70584235656,117378146.70584235656,1
2023-03-14 16:00:00,0.31911,0.36731,0.28181,0.29367,437763763.326026,140977738.9389749092,140977738.9389749092,1
2023-03-13 16:00:00,0.23643,0.335,0.22523,0.3194,474298111.67189,127540702.35172863025,127540702.35172863025,1
2023-03-12 16:00:00,0.14319,0.24901,0.14083,0.23634,473430446.843548,90591675.30639076529,90591675.30639076529,1
2023-03-11 16:00:00,0.13558,0.14957,0.13246,0.14321,162758803.674349,23371474.4087173157,23371474.4087173157,1
2023-03-10 16:00:00,0.15668,0.16401,0.13392,0.13568,203710345.9013,30216166.92374704751,30216166.92374704751,1
2023-03-09 16:00:00,0.19326,0.19748,0.14689,0.15675,304248345.53,50160311.16855501421,50160311.16855501421,1
2023-03-08 16:00:00,0.19908,0.20107,0.1825,0.19318,117650807.10543,22433368.46820867069,22433368.46820867069,1
2023-03-07 16:00:00,0.20291,0.22417,0.19369,0.19905,167321639.95061,34865356.24498015843,34865356.24498015843,1
2023-03-06 16:00:00,0.20453,0.20972,0.19,0.20307,122098795.11236,24398327.39202153054,24398327.39202153054,1
2023-03-05 16:00:00,0.20462,0.2142,0.19515,0.20452,143047333.631394,29188942.5108378386,29188942.5108378386,1
2023-03-04 16:00:00,0.18388,0.2098,0.17157,0.20457,157163278.329645,30244812.50003121291,30244812.50003121291,1
2023-03-03 16:00:00,0.1987,0.19989,0.18205,0.18401,101546302.888099,19403289.90023638636,19403289.90023638636,1
2023-03-02 16:00:00,0.21901,0.22929,0.18469,0.1987,170486256.998261,35025653.71768010583,35025653.71768010583,1
2023-03-01 16:00:00,0.24047,0.25681,0.21624,0.21912,143149192.860171,33276721.195994,33276721.195994,1
2023-02-28 16:00:00,0.21766,0.24362,0.188,0.24088,190982822.26757,41962535.454735,41962535.454735,1
2023-02-27 16:00:00,0.23226,0.23238,0.20829,0.21771,101023073.029703,22109941.683571,22109941.683571,1
2023-02-26 16:00:00,0.22415,0.24829,0.21194,0.23224,155095729.140032,36206448.321471,36206448.321471,1
2023-02-25 16:00:00,0.24015,0.24846,0.20579,0.22415,166373857.988053,37737799.69477,37737799.69477,1
2023-02-24 16:00:00,0.27173,0.27173,0.22213,0.24,201761885.479951,48417497.232487,48417497.232487,1
2023-02-23 16:00:00,0.28035,0.315,0.26511,0.27187,154700103.206517,44412330.996761,44412330.996761,1
2023-02-22 16:00:00,0.28374,0.32111,0.26603,0.28036,218848469.800409,64212966.257036,64212966.257036,1
2023-02-21 16:00:00,0.31831,0.347,0.27273,0.28372,174289776.668884,52837794.574119,52837794.574119,1
2023-02-20 16:00:00,0.3005,0.36832,0.26,0.31806,270463927.128618,85719513.538237,85719513.538237,1
2023-02-19 16:00:00,0.18261,0.32769,0.17689,0.3005,362705930.256955,89325146.45247,89325146.45247,1
2023-02-18 16:00:00,0.14724,0.18824,0.14669,0.18277,225208999.745083,36888063.20792,36888063.20792,1
2023-02-17 16:00:00,0.14398,0.1689,0.13106,0.1474,259907184.401099,38729646.763211,38729646.763211,1
2023-02-16 16:00:00,0.14123,0.178,0.115,0.14387,376978788.323517,55266707.566621,55266707.566621,1
2023-02-15 16:00:00,0.0819,0.15558,0.0785,0.14124,527303624.945726,62631721.688586,62631721.688586,1
2023-02-14 16:00:00,0.05476,0.085,0.05382,0.08217,204283125.179807,14284553.130574,14284553.130574,1
2023-02-13 16:00:00,0.05047,0.05599,0.04874,0.05476,41382384.163791,2168767.138775,2168767.138775,1
2023-02-12 16:00:00,0.05624,0.05727,0.04853,0.05045,29186319.800892,1533351.334897,1533351.334897,1
2023-02-11 16:00:00,0.05689,0.05883,0.0556,0.05624,16737560.846839,953904.075166,953904.075166,1
2023-02-10 16:00:00,0.0555,0.05861,0.05325,0.05693,22464867.895347,1265254.525546,1265254.525546,1
2023-02-09 16:00:00,0.06373,0.0642,0.05284,0.05542,57505403.52343,3295660.760188,3295660.760188,1
2023-02-08 16:00:00,0.06559,0.06806,0.05986,0.06387,47261308.477635,3009776.995172,3009776.995172,1
2023-02-07 16:00:00,0.07145,0.07262,0.06522,0.06565,64542786.999219,4467023.273368,4467023.273368,1
2023-02-06 16:00:00,0.07043,0.07395,0.06211,0.07129,65139664.204237,4384712.080983,4384712.080983,1
2023-02-05 16:00:00,0.06224,0.0729,0.06,0.07037,88432392.689792,6019670.999442,6019670.999442,1
2023-02-04 16:00:00,0.07043,0.07046,0.06042,0.06223,45161535.673288,2985914.803739,2985914.803739,1
2023-02-03 16:00:00,0.06882,0.07509,0.06712,0.07044,49298509.957852,3478424.558428,3478424.558428,1
2023-02-02 16:00:00,0.07228,0.08468,0.066,0.06877,140220916.209661,10622460.492305,10622460.492305,1
2023-02-01 16:00:00,0.05416,0.07288,0.0511,0.07218,136177243.754951,8738205.312045,8738205.312045,1
2023-01-31 16:00:00,0.05576,0.0596,0.053,0.05425,41723266.03276,2342562.024859,2342562.024859,1
2023-01-30 16:00:00,0.05925,0.0598,0.05144,0.05567,74519670.25214,4102121.466922,4102121.466922,1
2023-01-29 16:00:00,0.06359,0.06954,0.05737,0.05925,106463208.61583,6655241.624841,6655241.624841,1
2023-01-28 16:00:00,0.06203,0.07222,0.05773,0.06358,152070616.842512,10010376.930491,10010376.930491,1
2023-01-27 16:00:00,0.07374,0.078,0.06113,0.0619,127110247.507763,8711773.081375,8711773.081375,1
2023-01-26 16:00:00,0.05552,0.08198,0.05458,0.07369,345620121.839179,23801987.118053,23801987.118053,1
2023-01-25 16:00:00,0.03175,0.05979,0.03096,0.05564,190287557.607771,8853699.726028,8853699.726028,1
