datetime,open,high,low,close,vol,volCcy,volCcyQuote,confirm,symbol
2023-08-22 16:00:00,25936.3,26189.2,25320,26145.9,9079.69762378,234994506.432195604,234994506.432195604,1,BTC/USDT
2023-08-21 16:00:00,25941.7,26260,25915.2,25936.3,3275.81958628,85389791.535316826,85389791.535316826,1,BTC/USDT
2023-08-20 16:00:00,26105.9,26299.8,25813.2,25941.7,4972.25455519,129560610.769109203,129560610.769109203,1,BTC/USDT
2023-08-19 16:00:00,26215.2,26274.7,25971.1,26105.8,3202.8582587,83640665.445658028,83640665.445658028,1,BTC/USDT
2023-08-18 16:00:00,26000,26319.8,25600.1,26215.3,10327.5629156,268242533.545915777,268242533.545915777,1,BTC/USDT
2023-08-17 16:00:00,27929,28084.2,24220,26000,40207.02449994,1059136265.20000893,1059136265.20000893,1,BTC/USDT
2023-08-16 16:00:00,29103.4,29232,27865.8,27928.9,16486.06492903,470144593.445609397,470144593.445609397,1,BTC/USDT
2023-08-15 16:00:00,29331.7,29369.6,29044,29105.8,5983.89278616,174611287.83595902,174611287.83595902,1,BTC/USDT
2023-08-14 16:00:00,29600.7,29695,29255,29331.7,4775.49169175,140466163.524480696,140466163.524480696,1,BTC/USDT
2023-08-13 16:00:00,29372,29673,29100,29600.6,5587.98341349,164229242.44839447,164229242.44839447,1,BTC/USDT
2023-08-12 16:00:00,29439.5,29483.6,29360,29372.1,1605.22827455,47199258.45128512,47199258.45128512,1,BTC/USDT
2023-08-11 16:00:00,29396,29461.8,29250.8,29439.5,2402.21598822,70608748.63113383,70608748.63113383,1,BTC/USDT
2023-08-10 16:00:00,29467.1,29566.4,29330.2,29396,4537.74303075,133544498.469049552,133544498.469049552,1,BTC/USDT
2023-08-09 16:00:00,29760.8,29775.4,29375.9,29467,6467.56622676,191095751.45926628,191095751.45926628,1,BTC/USDT
2023-08-08 16:00:00,29536.7,30242.7,29535.6,29760.2,9236.0263317,275556994.712072298,275556994.712072298,1,BTC/USDT
2023-08-07 16:00:00,28858.9,29674.5,28701,29536.7,6571.22151509,192373715.976139595,192373715.976139595,1,BTC/USDT
2023-08-06 16:00:00,29008.9,29228,28790,28858.9,3675.19640943,106781929.314838173,106781929.314838173,1,BTC/USDT
2023-08-05 16:00:00,29040,29137.3,28989.6,29009,1456.65470047,42330177.673579777,42330177.673579777,1,BTC/USDT
2023-08-04 16:00:00,29272,29285.3,28802.2,29039.9,4265.44278425,123943870.56346715,123943870.56346715,1,BTC/USDT
2023-08-03 16:00:00,29258.6,29371.3,29100,29272.1,3979.18105803,116301481.591992847,116301481.591992847,1,BTC/USDT
2023-08-02 16:00:00,29324,29430.4,28923.8,29258.6,6067.76676605,176858452.959838799,176858452.959838799,1,BTC/USDT
2023-08-01 16:00:00,28951.7,30039.6,28862.1,29324,13089.96898883,386356042.172467452,386356042.172467452,1,BTC/USDT
2023-07-31 16:00:00,29246.9,29343.8,28570.1,28951.7,6692.10248626,193774369.047784616,193774369.047784616,1,BTC/USDT
2023-07-30 16:00:00,29351.8,29530,29030,29246.9,4305.57522128,126288922.72148176,126288922.72148176,1,BTC/USDT
2023-07-29 16:00:00,29296.3,29448.8,29235.5,29351.7,1568.22727437,46009705.918379342,46009705.918379342,1,BTC/USDT
2023-07-28 16:00:00,29391.4,29407.7,29198.8,29296.3,2612.9890228,76611449.230518865,76611449.230518865,1,BTC/USDT
2023-07-27 16:00:00,29290.4,29539.6,29084.7,29391.4,4202.37398323,123009170.593322044,123009170.593322044,1,BTC/USDT
2023-07-26 16:00:00,29322,29679,29191.5,29290.3,7460.56237029,219531111.911654992,219531111.911654992,1,BTC/USDT
2023-07-25 16:00:00,29181.1,29410.2,29100,29322,3950.65564487,115580216.935385424,115580216.935385424,1,BTC/USDT
2023-07-24 16:00:00,29094.9,29344.5,28999.2,29181,4478.93279369,130557206.152596979,130557206.152596979,1,BTC/USDT
